rowid,cost,avg_rate,listed_type,SUM(votes)
1,40,3.73,Delivery,397
2,40,3.7,Dine-out,129
3,50,3.7,Cafes,11
4,70,1.65,Dine-out,5
5,80,1.7,Dine-out,7
6,100,1.1,Cafes,5
7,100,2.17,Delivery,5741
8,100,2.35,Desserts,1115
9,100,2.04,Dine-out,7687
10,120,0.88,Delivery,104
11,130,3.5,Delivery,8
12,150,1.55,Cafes,135
13,150,2.17,Delivery,20348
14,150,2.7,Desserts,6374
15,150,2.03,Dine-out,20119
16,150,4,Pubs and bars,100
17,180,2.13,Delivery,455
18,180,4.25,Desserts,455
19,200,2.8,Delivery,5
20,200,2.2,Cafes,903
21,200,2.21,Delivery,37060
22,200,2.49,Desserts,11334
23,200,2.13,Dine-out,29915
24,200,3.82,Pubs and bars,225
25,230,4,Delivery,128
26,240,3.3,Delivery,6
27,250,3.23,Cafes,306
28,250,2.46,Delivery,33712
29,250,2.82,Desserts,5633
30,250,2.33,Dine-out,30354
31,250,3.7,Pubs and bars,73
32,300,3.7,Buffet,88
33,300,2.4,Cafes,2035
34,300,2.37,Delivery,74030
35,300,2.64,Desserts,14202
36,300,2.36,Dine-out,59523
37,300,3.9,Pubs and bars,16
38,330,2.7,Delivery,39
39,330,2.7,Dine-out,39
40,350,3.24,Cafes,1193
41,350,2.55,Delivery,22072
42,350,2.75,Desserts,2057
43,350,2.59,Dine-out,19199
44,350,4,Pubs and bars,152
45,400,2.6,Buffet,805
46,400,3.03,Cafes,6349
47,400,2.71,Delivery,128665
48,400,3.19,Desserts,45936
49,400,2.79,Dine-out,91643
50,400,3.7,Pubs and bars,131
51,450,3.45,Cafes,1942
52,450,3.02,Delivery,48727
53,450,3.1,Desserts,4984
54,450,3.08,Dine-out,33901
55,500,3.77,Buffet,1848
56,500,3.22,Cafes,18362
57,500,2.8,Delivery,128091
58,500,2.84,Desserts,31235
59,500,2.92,Dine-out,93102
60,500,1.9,Drinks & nightlife,139
61,500,3.83,Pubs and bars,340
62,550,3.7,Buffet,594
63,550,3.54,Cafes,6282
64,550,3.21,Delivery,29978
65,550,3.67,Desserts,6275
66,550,3.18,Dine-out,24641
67,600,3.43,Buffet,18475
68,600,3.62,Cafes,77023
69,600,3.05,Delivery,169029
70,600,2.94,Desserts,29982
71,600,3.18,Dine-out,176717
72,600,3.55,Drinks & nightlife,199
73,600,2.33,Pubs and bars,236
74,650,2.55,Buffet,246
75,650,3.62,Cafes,13697
76,650,3.45,Delivery,41786
77,650,3.34,Desserts,2714
78,650,3.43,Dine-out,38201
79,700,2.64,Buffet,1652
80,700,3.84,Cafes,24129
81,700,3.32,Delivery,61977
82,700,3.69,Desserts,5401
83,700,3.38,Dine-out,65874
84,700,3.36,Drinks & nightlife,96
85,700,2.5,Pubs and bars,350
86,750,4.05,Buffet,37248
87,750,4.15,Cafes,5324
88,750,3.58,Delivery,80704
89,750,4.18,Desserts,1083
90,750,3.63,Dine-out,92766
91,750,3.5,Drinks & nightlife,143
92,750,3.8,Pubs and bars,137
93,800,3.51,Buffet,11281
94,800,3.67,Cafes,34656
95,800,3.41,Delivery,147684
96,800,3.48,Desserts,15408
97,800,3.45,Dine-out,154610
