index,name,address,location,listed_type,votes,num_rate,online_order,book_table,cuisines,rest_type,cost,bool_online_order,bool_book_table
5548,Shades Of Coffee,"187, Shop 3, 22nd Cross, 9th Main, Sector 7, HSR Layout, HSR, Bangalore",HSR,Dine-out,0,0.0,No,No,"Desserts, Sandwich, Fast Food, Beverages",Quick Bites,300.0,0,0
2128,JK Home Foods,"1288, Oil Mill Road, Kammanahalli, Bangalore",Kammanahalli,Dine-out,0,0.0,No,No,"South Indian, North Indian",Quick Bites,200.0,0,0
5672,Taste Of Andhra,"2, Ground Floor, 9th Main, HRBR, Lay out, Kalyan Nagar, Bangalore",Kalyan Nagar,Dine-out,0,0.0,No,No,"Andhra, South Indian",Quick Bites,300.0,0,0
10781,Drunken Monkey,"324, 7th Cross, 7th Main, Near Indus Diagnostics, 2nd Stage, BTM, Bangalore",BTM,Delivery,116,4.2,Yes,No,"Beverages, Fast Food","Beverage Shop, Quick Bites",400.0,1,0
13216,Aahar,"2A, 3rd Shop, 15th Cross Road, Green Garden Layout, Mohan Enclave Apartment, Sai Baba Temple Road, Munnekolala, Marathahalli, Bangalore",Marathahalli,Delivery,0,0.0,No,No,North Indian,Quick Bites,500.0,0,0
16989,BLOW,"42, Church Street, Bangalore",Church Street,Delivery,937,4.2,Yes,Yes,"Cafe, Continental, American, Burger",Cafe,750.0,1,1
15129,Healthie,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Sarjapur Road,Delivery,70,3.9,Yes,No,"Healthy Food, Beverages",Delivery,600.0,1,0
14111,Cuppa,"Opposite Andhra Bank, Ashoka Pillar Main Road, 2nd Block, Jayanagar, Bangalore",Jayanagar,Delivery,59,3.2,No,No,"Cafe, Fast Food","Cafe, Casual Dining",550.0,0,0
9144,Aroma Of Asia,"37, Ground Floor, Adams Corner, Coles Road, Frazer Town, Bangalore",Frazer Town,Dine-out,49,3.9,No,No,"Fast Food, Momos",Quick Bites,400.0,0,0
641,Ande Ka Funda,"56, Srinivas Reddy Building, Devarabisanahalli",Bellandur,Dine-out,21,3.0,No,No,Fast Food,Quick Bites,150.0,0,0
